id,property_name,city,state,zip,unit_count,broker,source,current_property_address,hellodata_status,street_address,confirmed,classic_units_remaining,market_cap_rate,regulatory_risk
14bb8eaa-786e-4ab6-ba06-508407b0fb4d,2950 North Apartments,Greenville,SC,29615,156,,manual,2950 East North Street,pending,2950 East North Street,,,,
d8e3c800-439d-4d1c-9222-c6a681099295,2950 North Apartments,Greenville,SC,29615,156,,manual,"2950 East North Street, Greenville, SC, 29615",pending,"2950 East North Street, Greenville, SC, 29615",,,,
c9d0b50e-0dbb-4494-8a3e-8ba776254ec6,5401 Cornell,Chicago,IL,60615,163,,manual,"5401 South Cornell Avenue, Chicago, IL, 60615",pending,"5401 South Cornell Avenue, Chicago, IL, 60615",,,,
97cb8a55-0f45-4182-97ce-f23646b155f7,Arlington Club Apartments,Wheeling,IL,60090,430,CBRE,manual,"1533 Baldwin Court, Wheeling, IL, 60090",pending,"1533 Baldwin Court, Wheeling, IL, 60090",,,,
a50ae279-c43a-4c46-a1a0-bae5bcebd8b8,Autumn Run,Naperville,IL,,320,SVN,manual,,pending,,,,,
cf0c1258-36da-4d73-b3f2-b32bc1626548,Avery Pointe,Hilliard,OH,43026,176,Newmark,manual,,unmatched,,,,,
c2a98c52-6889-487e-aae3-25aefe76df2b,Brampton Moors,Cary,NC,27513,224,,manual,"101 Brampton Lane, Cary, NC, 27513",pending,"101 Brampton Lane, Cary, NC, 27513",,,,
b08facc8-d037-4643-856d-4665b7d8e40e,Brampton Moors,Cary,NC,27513,224,,manual,"101 Brampton Lane, Cary, NC, 27513",pending,"101 Brampton Lane, Cary, NC, 27513",,,,
43006be3-2f7b-4015-bcd4-5ed7479bd6d1,Brentmoor Apartments,Raleigh,NC,27604,228,Berkadia,manual,2080 Brentmoor Dr,pending,2080 Brentmoor Dr,,,,
45406cea-5786-414c-980a-a7b859d55b2f,East Park Apartments,,,,,,manual,,pending,,,,,
90c23b8e-afd7-41da-9ccc-6d3a4c7e5395,Forester,Charlotte,NC,28212,282,,manual,"2025 Timber Oaks Lane, Charlotte, NC, 28212",pending,"2025 Timber Oaks Lane, Charlotte, NC, 28212",,,,
88af505c-bfa4-4071-a4b7-6310aa3212b1,Hawthorne at Oak Ridge,Greensboro,NC,,297,Newmark,pipeline,,pending,,,,,
33bf09b1-0318-4de9-be1b-7c0f52976547,Hilliard Station Apartments,Hilliard,OH,43026,656,,manual,"5300 Catalina Circle Drive, Hilliard, OH, 43026",pending,"5300 Catalina Circle Drive, Hilliard, OH, 43026",,,,
4a589ecc-16ce-408b-9581-b15f8ed209a9,Hilliard Station Apartments,Columbus,OH,,656,Newmark,pipeline,,unmatched,,,,,
849ad20b-8e14-4c5b-bc02-d47f92a5afac,Hyde Park Tower,Chicago,IL,,155,Colliers,manual,5140 South Hyde Park Boulevard,fetched,,,,,
9165e579-68c5-497e-bae7-d3ff23e782ff,Northpark Place,Columbus,OH,42340,472,Newmark,manual,,unmatched,,,,,
b9680b03-ee22-4bcc-8ac0-0f0e54e73296,One Superior,Chicago,IL,,809,CBRE,manual,,unmatched,,,,,
2969b824-e9ac-4e35-9366-9e220a0cf932,Project VDZ,Dallas,TX,,437,Colliers,pipeline,,pending,,,,,
004f7c68-6ef7-4912-aca7-0473d5879d35,Randall Highlands,North Aurora,IL,60542,146,Newmark,manual,1241 Ritter St,pending,1241 Ritter St,,,,
